Relatório de Ads de palavras-chave - Shopee Brazil
Nome de Usuário:,wk1modas
Data de Criação do Relatório:,15/05/2023 09:03
Período:,09/05/2023 - 15/05/2023
ID da Loja:,447216642

#,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,VBM Direto,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
16,Macacão Jardineira Bengaline Longo Várias Cores,Em andamento,12061861899,Anúncios Descoberta,Tudo,31/01/2023 00:00,Ilimitado,150,4,2.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.75,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
17,Calça Jeans mom Feminina Clara,Em andamento,22712637436,Anúncios Descoberta,Tudo,24/02/2023 00:00,Ilimitado,147,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
18,Calça legging Suplex Poliamida,Em andamento,18273674751,Anúncios Descoberta,Tudo,17/02/2023 00:00,Ilimitado,117,1,0.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.10,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
19,Calça Mom Jeans 100% sem lycra cintura alta premium,Em andamento,23417695332,Anúncios Descoberta,Tudo,24/02/2023 00:00,Ilimitado,113,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
20,Calça Mom Jeans Escura Feminina Rasgada,Em andamento,15195855604,Anúncios Descoberta,Tudo,24/02/2023 00:00,Ilimitado,54,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
21,CALÇA MOM 100% ALGODÃO ( SEM ELÁSTANO ),Em andamento,23691138137,Anúncios Descoberta,Tudo,09/05/2023 00:00,Ilimitado,18,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
22,Calça Legging suplex poliamida cós alto,Em andamento,23625380006,Anúncios Descoberta,Tudo,17/02/2023 00:00,Ilimitado,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
23,Shorts Feminino de Sarja branco e preto,Encerrado,16793008038,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
24,Calça legging Suplex Poliamida,Encerrado,18273674751,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
25,Calça Legging suplex poliamida cós alto,Encerrado,23625380006,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
26,Calça Mom Jeans 100% sem lycra cintura alta premium,Encerrado,20070955398,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
27,Calça Mom Jeans 100% sem lycra cintura alta premium,Encerrado,23417695332,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
28,VESTIDO TUBINHO POLIAMIDA COM BOJO DETALHE ALÇA ALCINHA CORRENTE VERÃO 2022,Encerrado,17491354184,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
29,Calça Mom Jeans Escura Feminina Rasgada,Encerrado,15195855604,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
30,CROPPED UM OMBRO PRETO POLIAMIDA VERÃO 2023 AMARRAÇÃO COM BOJO,Encerrado,21468376169,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
31,Calça preta jeans FLARE,Encerrado,17391378498,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
32,Calça Jeans mom Feminina Clara,Encerrado,22712637436,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
33,Vestido Feminino Curto Mula Manca,Encerrado,23012643993,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
34,CALÇA PRADA TECIDO ROSSET ORIGINAL PREMIUM,Encerrado,17591353647,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
35,Calça Jeans  Wid Leg Feminina Promoção Rasgada,Encerrado,19969201063,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
36,CALÇA WIDE LEG COR PESSEGO JEANS 100% VERÃO 2023,Encerrado,19367401479,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
37,Cropped top princesa poliamida premium com bojo verão 2023,Encerrado,21661659513,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
38,Vestido poliamida tubinho tomara que caia com recortes bojo moda balada noite festa,Encerrado,20961331068,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
39,CALÇA WIDE LEG COLORIDA VERDE CLARO  ROSA BEBE BB VERÃO 2022 ESTILOSA,Encerrado,14356026505,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
40,Saia jeans curta feminina verão 2023 mini saia com detalhe em cordão alto verão,Encerrado,14452182406,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
41,Colete cropped feminino jeans verão,Encerrado,14846284724,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
