Relatório de Anúncios de Busca de Produtos - Shopee Brazil
Nome de Usuário:,findsfashion
Data de Criação do Relatório:,01/06/2023 19:05
Período:,25/05/2023 - 25/05/2023
Produtos,Blusa Feminina Tricot Inverno
Status,Em andamento
ID da Loja:,754722588
ID do produto,18798544389

#,Palavras-chave,Status,Tipo de combinação,Consulta de pesquisa,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,VBM Direto,Despesas,Classificação Média,ROAS,ROAS Direto,ACOS,ACOS Direto
1,Selecionado manualmente,-,-,-,3348,65,1.94%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,7.15,7,0.0,0.0,0.00%,0.00%
2,blusa tricot feminino,normal,Correspondência ampla,Camisa Feminina,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.00%,0.00%
3,blusa tricot feminino,normal,Correspondência ampla,blusinha feminina básica,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.00%,0.00%
4,blusa tricot feminino,normal,Correspondência ampla,Blusa croped moleton,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
5,blusa tricô feminina,normal,Correspondência ampla,sueter feminino de tricô  com  capuz,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.00%,0.00%
6,blusa tricot feminino,normal,Correspondência ampla,blusa de lese,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
7,blusa tricô feminina,normal,Correspondência ampla,Baby look,2,1,50.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.11,10,0.0,0.0,0.00%,0.00%
8,blusa tricô feminina,normal,Correspondência ampla,blusa feminina peluciada,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12,0.0,0.0,0.00%,0.00%
9,blusa tricot feminino,normal,Correspondência ampla,Conjunto Saia E Blusa,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7,0.0,0.0,0.00%,0.00%
10,blusa tricot feminino,normal,Correspondência ampla,Blusa crooped tricot,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6,0.0,0.0,0.00%,0.00%
