Relatório de Anúncios de Busca de Produtos - Shopee Brazil
Nome de Usuário:,findsfashion
Data de Criação do Relatório:,01/06/2023 18:57
Período:,25/05/2023 - 01/06/2023
Produtos,Blusa Feminina Tricot Inverno
Status,Em andamento
ID da Loja:,754722588
ID do produto,18798544389

#,Palavras-chave,Status,Tipo de combinação,Consulta de pesquisa,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,VBM Direto,Despesas,Classificação Média,ROAS,ROAS Direto,ACOS,ACOS Direto
1,Selecionado manualmente,-,-,-,35265,520,1.47%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,57.20,18,0.0,0.0,0.00%,0.00%
2,blusa tricot feminino,normal,Correspondência ampla,Blusa manga com lastex,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12,0.0,0.0,0.00%,0.00%
3,blusa tricô feminina,normal,Correspondência ampla,camisa femina social,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,24,0.0,0.0,0.00%,0.00%
4,blusa tricot feminino,normal,Correspondência ampla,Blusa peluda,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
5,blusa tricô feminina,normal,Correspondência ampla,blusa do urso feminina,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,36,0.0,0.0,0.00%,0.00%
6,blusa tricô feminina,normal,Correspondência ampla,blusa ombro a ombro tricô,4,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,8,0.0,0.0,0.00%,0.00%
7,blusa tricot feminino,normal,Correspondência ampla,Brusa jeans cropped,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10,0.0,0.0,0.00%,0.00%
8,blusa tricot feminino,normal,Correspondência ampla,camisa feminino xadrez,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,20,0.0,0.0,0.00%,0.00%
9,blusa tricô feminina,normal,Correspondência ampla,Cardigan Trico Feminino,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
10,blusa tricô feminina,normal,Correspondência ampla,Blusas de linho,3,1,33.33%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.11,4,0.0,0.0,0.00%,0.00%
11,blusa tricô feminina,normal,Correspondência ampla,blusa luxxo feminina,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.00%,0.00%
12,blusa tricô feminina,normal,Correspondência ampla,tricô plus size feminina croped e blusa,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.00%,0.00%
13,blusa tricô feminina,normal,Correspondência ampla,cropped tricô,28,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,16,0.0,0.0,0.00%,0.00%
14,blusa tricot feminino,normal,Correspondência ampla,Blusa morcego,5,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10,0.0,0.0,0.00%,0.00%
15,blusa tricot feminino,normal,Correspondência ampla,camisete xadres feminino,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,11,0.0,0.0,0.00%,0.00%
16,blusa tricot feminino,normal,Correspondência ampla,camisa flanelada xadrez feminina,6,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,11,0.0,0.0,0.00%,0.00%
17,blusa tricot feminino,normal,Correspondência ampla,blusa gola quadrada feminina,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6,0.0,0.0,0.00%,0.00%
18,blusa tricô feminina,normal,Correspondência ampla,Blusa feminina de tricô,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
19,blusa tricot feminino,normal,Correspondência ampla,Roupas de brechó tamanho gg,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5,0.0,0.0,0.00%,0.00%
20,blusa tricot feminino,normal,Correspondência ampla,blusinha feminina casual,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,21,0.0,0.0,0.00%,0.00%
21,blusa tricot feminino,normal,Correspondência ampla,camisa xadrez vermelha feminina,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,11,0.0,0.0,0.00%,0.00%
22,blusa tricot feminino,normal,Correspondência ampla,blusa para usar com blazer,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,20,0.0,0.0,0.00%,0.00%
23,blusa tricô feminina,normal,Correspondência ampla,Blusa de tricô para usar com legging,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,13,0.0,0.0,0.00%,0.00%
24,blusa tricô feminina,normal,Correspondência ampla,blusa em tricô,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,24,0.0,0.0,0.00%,0.00%
25,blusa tricô feminina,normal,Correspondência ampla,Blusa truco,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,16,0.0,0.0,0.00%,0.00%
26,blusa tricot feminino,normal,Correspondência ampla,Blusa suplex v,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
27,blusa tricot feminino,normal,Correspondência ampla,camisa veludo canelada,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,32,0.0,0.0,0.00%,0.00%
28,blusa tricô feminina,normal,Correspondência ampla,blusa aro,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,47,0.0,0.0,0.00%,0.00%
29,blusa tricot feminino,normal,Correspondência ampla,blusinha feminina plus size,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,55,0.0,0.0,0.00%,0.00%
30,blusa tricô feminina,normal,Correspondência ampla,blusa crochê feminina inverno,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,9,0.0,0.0,0.00%,0.00%
31,blusa tricô feminina,normal,Correspondência ampla,manga bufante,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,50,0.0,0.0,0.00%,0.00%
32,blusa tricot feminino,normal,Correspondência ampla,xadrez feminino,21,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,24,0.0,0.0,0.00%,0.00%
33,blusa tricô feminina,normal,Correspondência ampla,camisasocial,2,1,50.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.11,1,0.0,0.0,0.00%,0.00%
34,blusa tricô feminina,normal,Correspondência ampla,Blusa Farm Feminina,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,28,0.0,0.0,0.00%,0.00%
35,blusa tricot feminino,normal,Correspondência ampla,Croppd  manga longa,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,15,0.0,0.0,0.00%,0.00%
36,blusa tricot feminino,normal,Correspondência ampla,Blusa tricot animal print,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.00%,0.00%
37,blusa tricô feminina,normal,Correspondência ampla,Blusa tricô vintage,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.00%,0.00%
38,blusa tricô feminina,normal,Correspondência ampla,blusa gola boba,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,23,0.0,0.0,0.00%,0.00%
39,blusa tricô feminina,normal,Correspondência ampla,blusao de trico gola alta,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,32,0.0,0.0,0.00%,0.00%
