Relatório de Anúncios de Busca de Produtos - Shopee Brazil
Nome de Usuário:,findsfashion
Data de Criação do Relatório:,01/06/2023 18:55
Período:,31/05/2023 - 31/05/2023
Produtos,Blusa Feminina Tricot Inverno
Status,Em andamento
ID da Loja:,754722588
ID do produto,18798544389

#,Palavras-chave,Status,Tipo de combinação,Consulta de pesquisa,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,VBM Direto,Despesas,Classificação Média,ROAS,ROAS Direto,ACOS,ACOS Direto
1,Selecionado manualmente,-,-,-,2438,65,2.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,7.15,17,0.0,0.0,0.00%,0.00%
2,blusa tricot feminino,normal,Correspondência ampla,Poncho De Tricot,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,11,0.0,0.0,0.00%,0.00%
3,blusa tricô feminina,normal,Correspondência ampla,blusa de frio de lã feminina,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,9,0.0,0.0,0.00%,0.00%
4,blusa tricô feminina,normal,Correspondência ampla,Bluza De Frio,1,1,100.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.11,7,0.0,0.0,0.00%,0.00%
5,blusa tricot feminino,normal,Correspondência ampla,brechó,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7,0.0,0.0,0.00%,0.00%
6,blusa tricô feminina,normal,Correspondência ampla,blusa new york,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.00%,0.00%
7,blusa tricô feminina,normal,Correspondência ampla,tricô feminino inverno,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,26,0.0,0.0,0.00%,0.00%
8,blusa tricot feminino,normal,Correspondência ampla,blusa de crepe de seda,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,37,0.0,0.0,0.00%,0.00%
9,blusa tricô feminina,normal,Correspondência ampla,blusa frio tricô feminino,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,9,0.0,0.0,0.00%,0.00%
10,blusa tricô feminina,normal,Correspondência ampla,blusa de festa junina feminina,5,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,43,0.0,0.0,0.00%,0.00%
